REQUEST_ID,CREATED_ON,REQUEST_TYPE,REQUEST_ORIGIN,STATUS,DEPARTMENT,NEIGHBORHOOD,COUNCIL_DISTRICT,WARD,TRACT,PUBLIC_WORKS_DIVISION,PLI_DIVISION,POLICE_ZONE,FIRE_ZONE,X,Y,GEO_ACCURACY
242305,2018-04-24T12:40:00,Maintenance Issue,Twitter,1,DOMI - TrafficShop,Greenfield,5,15,42003151700,3,15,4,2-15,-79.9344039502517,40.4270818279648,APPROXIMATE
45325,2016-02-04T15:56:00,Litter,Website,1,DPW - Street Maintenance,Stanton Heights,9,10,42003100500,2,10,5,3-7,-79.937155,40.474706,EXACT
83391,2016-06-28T08:26:00,Shelters,Call Center,3,DPW - Park Maintenance,South Side Flats,3,16,42003160900,3,16,3,4-24,-79.9745354,40.4293129,EXACT
221418,2018-02-19T10:04:00,Potholes,Call Center,1,DPW - Street Maintenance,Brookline,4,19,42003191900,5,19,6,4-26,-80.0305831432343,40.3953180562565,EXACT
285207,2018-08-31T13:16:00,Request New Sign,Twitter,0,,South Side Flats,3,17,42003170200,3,17,3,4-24,-79.9808162,40.4260623,EXACT
124910,2017-01-11T08:52:00,Speeding,Call Center,1,Police - Zones 1-6,Brookline,4,19,42003191800,5,19,6,4-26,-80.0109603,40.3905443,EXACT
252547,2018-05-25T08:56:00,"Catch Basin, Clogged",Call Center,0,Pittsburgh Water and Sewer Authority,Central Lawrenceville,7,9,42003090100,2,9,2,3-5,-79.958386842328,40.4780960218702,EXACT
87633,2016-07-13T11:06:00,Sinkhole,Call Center,1,DPW - Street Maintenance,Bloomfield,7,9,42003090300,2,9,5,3-6,-79.9509188857056,40.4657630751358,EXACT
10780,2015-06-25T10:10:00,Overgrowth,Call Center,1,DPW - Street Maintenance,Marshall-Shadeland,1,27,42003270400,1,27,1,1-14,-80.0306832,40.4667432,EXACT
154191,2017-05-17T08:17:00,Overgrowth,Call Center,3,DPW - Street Maintenance,Central Business District,6,2,42003020100,6,2,2,1-3,-80.0045498021301,40.443977,EXACT
193491,2017-10-16T08:15:00,Weeds/Debris,Call Center,1,"Permits, Licenses and Inspections",Greenfield,5,15,42003151600,3,15,4,2-12,-79.942639,40.4213312,EXACT
53609,2016-03-08T16:21:00,Potholes,Call Center,1,DPW - Street Maintenance,Hazelwood,5,15,42003562900,3,15,4,2-12,-79.95251,40.424842,EXACT
163247,2017-06-19T15:33:00,Fence Maintenance,Website,1,"Permits, Licenses and Inspections",South Side Flats,3,17,42003170200,3,17,3,4-24,-79.9791872549923,40.4270448663896,APPROXIMATE
96021,2016-08-12T10:26:00,Litter,Call Center,1,DPW - Street Maintenance,Perry North,1,26,42003260700,1,26,1,1-15,-80.0115079,40.4781809,EXACT
257482,2018-06-08T17:48:00,Potholes,Call Center,1,DPW - Street Maintenance,Lincoln Place,5,31,42003310200,3,31,4,4-20,-79.9187783,40.3678187,EXACT
193750,2017-10-16T17:40:00,Junk Vehicles,Call Center,1,"Permits, Licenses and Inspections",Allentown,3,18,42003180300,5,18,3,4-6,-79.9927415120873,40.4193884088251,APPROXIMATE
284226,2018-08-28T15:00:00,Street Cleaning/Sweeping,Call Center,1,DPW - Street Maintenance,Oakwood,2,28,42003562800,5,28,6,1-19,-80.0653797055572,40.4292491741135,EXACT
109098,2016-10-06T12:43:00,Overgrowth,Call Center,1,DPW - Street Maintenance,Upper Hill,6,5,42003050600,3,5,2,2-22,-79.9583821074096,40.4537244845032,EXACT
57905,2016-03-29T08:54:00,Tree Issues,Control Panel,1,"Permits, Licenses and Inspections",Homewood North,9,13,42003130200,2,13,5,3-17,-79.8954837899856,40.4589086270085,APPROXIMATE
236352,2018-04-06T07:53:00,Fire Safety System Issue,Control Panel,1,,,,,,,,,,,,OUT_OF_BOUNDS
349791,2019-06-10T12:09:00,Potholes,Call Center,1,DPW - Street Maintenance,Crafton Heights,2,28,42003281500,5,28,6,1-18,-80.0579914,40.4428918,EXACT
11654,2015-07-02T07:51:00,Potholes,Call Center,1,DPW - Street Maintenance,Beechview,4,19,42003192000,5,19,6,4-28,-80.02228,40.405415,EXACT
